repo_name	autores	prs_merged	prs_abiertos
pingdotgg/t3code	40	251	473
ministryofjustice/cloud-platform-environments	40	69	52
KrisTHL181/Break-This-Repo	40	69	59
void-linux/void-packages	40	52	35
Expensify/App	40	69	91
kirodotdev/KiroCrew	39	314	421
n8n-io/n8n	39	67	92
aiwithqasim/mcde-b6-github-demo	38	39	53
ai-dynamo/dynamo	38	71	117
punkpeye/awesome-remote-mcp-servers	38	38	37
Azure/azure-rest-api-specs	38	42	49
floci-io/floci	37	124	103
SAPTARSHI-coder/EaseMotion-css	37	57	81
ydb-platform/ydb	37	167	172
raycast/extensions	35	44	57
upesacm/100DaysOfCode-2026	35	80	85
vllm-project/vllm-omni	34	43	77
grafana/grafana	34	51	75
DataDog/datadog-agent	33	52	65
AliceO2Group/O2Physics	33	38	27
ROCm/rocm-systems	32	40	76
bytedance/deer-flow	32	45	41
MetaMask/metamask-mobile	32	49	73
fleetdm/fleet	31	78	95
microsoft/vscode	31	92	156
ROCm/rocm-libraries	30	39	61
ggml-org/llama.cpp	30	39	81
infiniflow/ragflow	30	49	68
NVIDIA-NeMo/Gym	29	46	46
postmark-town/postmark	29	64	63
t8y2/dbx	29	83	67
Homebrew/homebrew-cask	29	490	486
lingdojo/kana-dojo	29	33	38
apache/airflow	28	45	103
Automattic/jetpack	28	62	68
swiftlang/swift	28	36	76
BasedHardware/omi	28	101	189
flagos-ai/FlagGems	28	38	43
open-metadata/OpenMetadata	27	76	62
career-ops-hq/career-ops	27	37	62
CALLE-AI/awesome-phone-call-agents	27	29	38
curso-ejercicio2/ejercicio2-curso	27	28	28
camunda/camunda	27	41	49
apache/maka	27	56	96
facebookincubator/velox	27	28	43
pytorch/executorch	26	52	66
ksiller/DS2022	26	26	22
JetBrains/kotlin	26	31	39
WordPress/gutenberg	26	57	82
DefiLlama/dimension-adapters	26	41	48
diegosouzapw/OmniRoute	26	112	177
kubernetes/kubernetes	26	31	54
apache/superset	25	49	64
NousResearch/hermes-agent	25	255	1612
rdkcentral/meta-rdk-video	25	32	21
DefiLlama/DefiLlama-Adapters	25	35	36
brave/brave-core	25	48	53
dust-tt/dust	24	79	93
metabase/metabase	24	80	116
NVIDIA-NeMo/nemo-platform	24	56	76
Homebrew/homebrew-core	24	1921	1944
Koenkk/zigbee-herdsman-converters	24	26	21
mastra-ai/mastra	24	62	110
kubernetes-sigs/kueue	24	44	63
dotnet/runtime	24	48	74
Untrivial-ai/agent-orchestrator	24	46	83
duckdb/duckdb	23	46	56
TensorBlock/awesome-mcp-servers	23	26	23
kvcache-ai/Mooncake	23	30	29
Domain-Connect/Templates	23	26	36
ray-project/ray	23	32	54
ss14Starlight/space-station-14	23	39	46
UiPath/skills	23	45	52
nodejs/node	22	26	48
langgenius/dify	22	44	80
opendatahub-io/odh-dashboard	22	30	21
can1357/oh-my-pi	22	55	153
TravelMapping/UserData	22	29	29
Dolibarr/dolibarr	22	55	55
cloudflare/cloudflare-docs	22	33	46
QwenLM/qwen-code	22	86	108
imsai-sh/awesome-deepseek-harness-plugins	22	29	32
python/cpython	22	67	110
Comfy-Org/ComfyUI_frontend	22	109	173
omnigent-ai/omnigent	22	78	127
flashinfer-ai/flashinfer	22	42	54
juspay/xyne-spaces	21	41	74
DataDog/documentation	21	27	46
coder/coder	21	45	70
apache/doris	21	41	65
anomalyco/models.dev	21	25	42
bitwarden/clients	21	29	31
lynx-family/lynx	21	34	46
dsx-ai-factory/infra-controller	21	50	61
inclusionAI/Avernet	21	44	47
apache/datafusion	21	27	49
KanishJebaMathewM/Truxify	21	67	86
Wei-Shaw/sub2api	21	39	59
tinyhumansai/openhuman	20	47	24
Azure/azure-sdk-for-net	20	23	21
LedgerHQ/ledger-live	20	31	50
unslothai/unsloth	20	78	113
NVIDIA-AI-Blueprints/video-search-and-summarization	20	24	37
flutter/flutter	20	40	83
MetaMask/metamask-extension	20	28	42
openshift/openshift-docs	20	92	111
mdn/content	20	38	40
ros/rosdistro	20	35	49
NVIDIA/Megatron-LM	20	29	56
Yeachan-Heo/gajae-code	20	59	56
PostHog/posthog.com	20	29	36
servo/servo	20	34	38
microsoft/BCApps	20	40	48
open-telemetry/opentelemetry-collector-contrib	20	30	38
hmcts/cnp-flux-config	19	22	37
zed-industries/zed	19	22	62
openvinotoolkit/openvino	19	25	38
sgl-project/sglang-omni	19	23	38
libredb/libredb-studio	19	31	21
noctalia-dev/community-plugins	19	21	29
phase-rs/phase	19	80	79
LMCache/LMCache	19	25	43
volcengine/OpenViking	19	29	67
Automattic/wp-calypso	19	28	30
macports/macports-ports	19	36	50
Lilly-Protocol/agentlily-runtime	19	50	24
objectstack-ai/objectstack	19	196	183
supabase/supabase	19	32	67
ministryofjustice/modernisation-platform-environments	19	20	18
DataDog/dd-trace-py	18	36	33
conda-forge/staged-recipes	18	18	22
ed-donner/llm_engineering	18	18	8
discourse/discourse	18	51	51
backstage/backstage	18	25	11
spack/spack-packages	18	18	25
MakazhanAlpamys/Soup	18	37	46
FreeCAD/FreeCAD	18	30	41
AOSC-Dev/aosc-os-abbs	18	45	47
